Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
251,tt0387564,2023-05-23,2023-05-23,,"Jogos Mortais","Saw",https://www.imdb.com/title/tt0387564/,Filme,7.6,103,2004,"Terror, Mistério, Suspense",514869,2005-02-04,"James Wan",6,2023-05-23
252,tt0117571,2023-05-23,2023-05-23,,"Pânico","Scream",https://www.imdb.com/title/tt0117571/,Filme,7.4,111,1996,"Terror, Mistério",450899,1997-01-31,"Wes Craven",8,2023-08-30
253,tt3289956,2023-06-05,2023-06-05,,"A Autópsia","The Autopsy of Jane Doe",https://www.imdb.com/title/tt3289956/,Filme,6.8,86,2016,"Terror, Mistério, Suspense",167591,2017-05-04,"André Øvredal",7,2023-06-05
254,tt1285009,2023-06-05,2023-06-05,,"Os Estranhos: Caçada Noturna","The Strangers: Prey at Night",https://www.imdb.com/title/tt1285009/,Filme,5.3,85,2018,"Terror",40702,2018-06-07,"Johannes Roberts",5,2023-06-05
255,tt0163651,2023-08-14,2023-08-14,,"American Pie: A Primeira Vez é Inesquecível","American Pie",https://www.imdb.com/title/tt0163651/,Filme,7.0,95,1999,"Comédia",471503,1999-10-29,"Paul Weitz",7,2023-08-14
256,tt6710474,2023-08-14,2023-08-14,,"Tudo em Todo Lugar ao Mesmo Tempo","Everything Everywhere All at Once",https://www.imdb.com/title/tt6710474/,Filme,7.7,139,2022,"Ação, Aventura, Comédia, Drama, Fantasia, Ficção científica",657734,2022-06-23,"Daniel Kwan, Daniel Scheinert",6,2023-08-14
257,tt6977338,2023-08-14,2023-08-14,,"Bons Meninos","Good Boys",https://www.imdb.com/title/tt6977338/,Filme,6.7,90,2019,"Aventura, Comédia",90572,2019-09-28,"Gene Stupnitsky",8,2023-08-14
258,tt0072271,2023-08-28,2023-08-28,,"O Massacre da Serra Elétrica","The Texas Chain Saw Massacre",https://www.imdb.com/title/tt0072271/,Filme,7.4,83,1974,"Terror",214585,1987-08-28,"Tobe Hooper",8,2023-08-28
259,tt0077651,2023-08-30,2023-08-30,,"Halloween - A Noite do Terror","Halloween",https://www.imdb.com/title/tt0077651/,Filme,7.7,91,1978,"Terror, Suspense",341548,1980-05-17,"John Carpenter",6,2023-08-30
260,tt21308888,2023-09-04,2023-09-04,,"Paraíso","Paradise",https://www.imdb.com/title/tt21308888/,Filme,6.3,117,2023,"Ação, Ficção científica, Suspense",25946,2023-07-27,"Boris Kunz",7,2023-09-04
261,tt0108550,2023-09-11,2023-09-11,,"Gilbert Grape: Aprendiz de Sonhador","What's Eating Gilbert Grape",https://www.imdb.com/title/tt0108550/,Filme,7.7,118,1993,"Drama",270407,1994-05-13,"Lasse Hallström",8,2023-09-11
262,tt13327038,2023-10-01,2023-10-01,,"Justiceiras","Do Revenge",https://www.imdb.com/title/tt13327038/,Filme,6.3,118,2022,"Comédia, Drama, Romance, Suspense",57745,2022-09-16,"Jennifer Kaytin Robinson",8,2023-10-01
263,tt1568346,2023-10-30,2023-10-30,,"Millennium - Os Homens que Não Amavam as Mulheres","The Girl with the Dragon Tattoo",https://www.imdb.com/title/tt1568346/,Filme,7.8,158,2011,"Policial, Drama, Mistério, Suspense",531410,2012-01-27,"David Fincher",8,2023-10-30
264,tt9243946,2023-11-04,2023-11-04,,"El Camino: Um Filme de Breaking Bad","El Camino",https://www.imdb.com/title/tt9243946/,Filme,7.3,122,2019,"Policial, Drama, Suspense",349865,2019-10-11,"Vince Gilligan",6,2023-11-04
265,tt0478970,2023-11-04,2023-11-04,,"Homem-Formiga","Ant-Man",https://www.imdb.com/title/tt0478970/,Filme,7.2,117,2015,"Ação, Comédia, Ficção científica",788975,2015-07-16,"Peyton Reed",7,2023-11-04
266,tt9114286,2023-11-04,2023-11-04,,"Pantera Negra: Wakanda para Sempre","Black Panther: Wakanda Forever",https://www.imdb.com/title/tt9114286/,Filme,6.6,161,2022,"Ação, Aventura, Drama, Ficção científica",397337,2022-11-11,"Ryan Coogler",5,2023-11-04
267,tt3480822,2023-11-04,2023-11-04,,"Viúva Negra","Black Widow",https://www.imdb.com/title/tt3480822/,Filme,6.6,134,2021,"Ação, Aventura, Ficção científica",484494,2021-07-08,"Cate Shortland",7,2023-11-04
268,tt1457767,2023-11-04,2023-11-04,,"Invocação do Mal","The Conjuring",https://www.imdb.com/title/tt1457767/,Filme,7.5,112,2013,"Terror, Mistério, Suspense",629664,2013-09-13,"James Wan",8,2023-11-04
269,tt0101272,2023-11-04,2023-11-04,,"A Família Addams","The Addams Family",https://www.imdb.com/title/tt0101272/,Filme,7.0,99,1991,"Comédia, Fantasia",202468,1991-12-20,"Barry Sonnenfeld",9,2023-11-04
270,tt0106220,2023-11-04,2023-11-04,,"A Família Addams 2","Addams Family Values",https://www.imdb.com/title/tt0106220/,Filme,6.9,94,1993,"Comédia, Fantasia",124238,1993-12-17,"Barry Sonnenfeld",7,2023-11-04
271,tt0096874,2023-11-04,2023-11-04,,"De Volta para o Futuro: Parte II","Back to the Future Part II",https://www.imdb.com/title/tt0096874/,Filme,7.8,108,1989,"Aventura, Comédia, Ficção científica",626742,1989-12-14,"Robert Zemeckis",9,2023-11-04
272,tt0099088,2023-11-04,2023-11-04,,"De Volta para o Futuro: Parte III","Back to the Future Part III",https://www.imdb.com/title/tt0099088/,Filme,7.5,118,1990,"Aventura, Comédia, Ficção científica, Faroeste",524243,1990-07-13,"Robert Zemeckis",8,2023-11-04
273,tt2407504,2023-11-05,2023-11-05,,"The Defector: Escape from North Korea","The Defector: Escape from North Korea",https://www.imdb.com/title/tt2407504/,Filme,7.3,71,2012,"Documentário",91,2012-11-18,"Ann Shin",,
274,tt0462244,2023-11-05,2023-11-05,,"Acampamento do Papai","Daddy Day Camp",https://www.imdb.com/title/tt0462244/,Filme,3.3,89,2007,"Comédia, Família",18998,2007-09-07,"Fred Savage",6,2023-11-05
275,tt0000439,2023-11-13,2023-11-13,,"O Grande Roubo do Trem","The Great Train Robbery",https://www.imdb.com/title/tt0000439/,Curta,7.2,11,1903,"Curta-Metragem, Ação, Aventura, Policial, Drama, Faroeste",22957,1904-01-10,"Edwin S. Porter",7,2023-11-13
276,tt0000417,2023-11-13,2023-11-13,,"Viagem à Lua","Le voyage dans la lune",https://www.imdb.com/title/tt0000417/,Curta,8.1,13,1902,"Curta-Metragem, Aventura, Comédia, Fantasia, Ficção científica",61542,1902-09-08,"Georges Méliès",8,2023-11-13
277,tt1196141,2023-11-14,2023-11-14,,"Diário de um Banana","Diary of a Wimpy Kid",https://www.imdb.com/title/tt1196141/,Filme,6.3,94,2010,"Comédia, Drama, Família",68086,2010-03-19,"Thor Freudenthal",8,2023-11-14
